Cell Code,T_C,T_K,Conductivity,Filename,1000/T
GE03,10,283.15,9.718173228980811e-05,BL-LL-GE03_10C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.531696980399082
GE03,10,283.15,1.128998501992628e-08,BL-LL-GE03_10C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.531696980399082
GE03,0,273.15,9.718173228980811e-05,BL-LL-GE03_0C_Blocking_Ionic_Conductivity_01_OCV_C03.mpt,3.660992128866923
GE03,0,273.15,9.745184779462101e-09,BL-LL-GE03_0C_Blocking_Ionic_Conductivity_02_PEIS_C03.mpt,3.660992128866923
GE03,-10,263.15,9.718173228980811e-05,BL-LL-GE03_-10C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.800114003420103
GE03,-10,263.15,8.7091700174908e-09,BL-LL-GE03_-10C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.800114003420103
GE03,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GE03_-20C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,3.950227138060439
GE03,-20,253.14999999999998,7.771796792943185e-09,BL-LL-GE03_-20C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,3.950227138060439
GE03,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GE03_-40C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,4.2890842805061125
GE03,-40,233.14999999999998,3.886091374611589e-09,BL-LL-GE03_-40C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,4.2890842805061125
GE03,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GE03_-60C_Blocking_Ionic_Conductivity_01_OCV_C01.mpt,4.691531785127845
GE03,-60,213.14999999999998,6.913818781514275e-10,BL-LL-GE03_-60C_Blocking_Ionic_Conductivity_02_PEIS_C01.mpt,4.691531785127845
GF01,60,333.15,9.718173228980811e-05,BL-LL-GF01_60C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.0016509079994
GF01,60,333.15,3.814789215572882e-05,BL-LL-GF01_60C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.0016509079994
GF01,40,313.15,9.718173228980811e-05,BL-LL-GF01_40C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.193357815743254
GF01,40,313.15,6.530694583895273e-05,BL-LL-GF01_40C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.193357815743254
GF01,20,293.15,9.276438082208953e-05,BL-LL-GF01_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
GF01,20,293.15,8.902742014449183e-05,BL-LL-GF01_20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.4112229234180456
GF01,10,283.15,9.718173228980811e-05,BL-LL-GF01_10C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.531696980399082
GF01,10,283.15,8.956083621849388e-05,BL-LL-GF01_10C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.531696980399082
GF01,0,273.15,9.718173228980811e-05,BL-LL-GF01_0C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.660992128866923
GF01,0,273.15,9.423506226125641e-05,BL-LL-GF01_0C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.660992128866923
GF01,-10,263.15,9.718173228980811e-05,BL-LL-GF01_-10C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.800114003420103
GF01,-10,263.15,0.0001139380891756394,BL-LL-GF01_-10C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.800114003420103
GF01,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GF01_-20C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.950227138060439
GF01,-20,253.14999999999998,0.0001566297193865804,BL-LL-GF01_-20C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.950227138060439
GF01,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GF01_-40C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,4.2890842805061125
GF01,-40,233.14999999999998,0.00019153851466623606,BL-LL-GF01_-40C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,4.2890842805061125
GF01,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GF01_-60C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,4.691531785127845
GF01,-60,213.14999999999998,1.1953830646259356e-07,BL-LL-GF01_-60C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,4.691531785127845
GF02,60,333.15,9.718173228980811e-05,BL-LL-GF02_60C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.0016509079994
GF02,60,333.15,3.071659839769568e-08,BL-LL-GF02_60C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.0016509079994
GF02,40,313.15,9.718173228980811e-05,BL-LL-GF02_40C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.193357815743254
GF02,40,313.15,2.2071679721319938e-08,BL-LL-GF02_40C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.193357815743254
GF02,20,293.15,9.276438082208953e-05,BL-LL-GF02_20C_Blocking_Ionic_Conductivity_01_OCV_C04.mpt,3.4112229234180456
GF02,20,293.15,1.6701151058629215e-08,BL-LL-GF02_20C_Blocking_Ionic_Conductivity_02_PEIS_C04.mpt,3.4112229234180456
GF02,10,283.15,9.718173228980811e-05,BL-LL-GF02_10C_Blocking_Ionic_Conductivity_01_OCV_C05.mpt,3.531696980399082
GF02,10,283.15,1.1599294672873363e-08,BL-LL-GF02_10C_Blocking_Ionic_Conductivity_02_PEIS_C05.mpt,3.531696980399082
GF02,0,273.15,9.718173228980811e-05,BL-LL-GF02_0C_Blocking_Ionic_Conductivity_01_OCV_C05.mpt,3.660992128866923
GF02,0,273.15,1.1421258515525027e-08,BL-LL-GF02_0C_Blocking_Ionic_Conductivity_02_PEIS_C05.mpt,3.660992128866923
GF02,-10,263.15,9.718173228980811e-05,BL-LL-GF02_-10C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.800114003420103
GF02,-10,263.15,9.742525586005804e-09,BL-LL-GF02_-10C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.800114003420103
GF02,-20,253.14999999999998,9.718173228980811e-05,BL-LL-GF02_-20C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.950227138060439
GF02,-20,253.14999999999998,8.341923957850782e-09,BL-LL-GF02_-20C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.950227138060439
GF02,-40,233.14999999999998,9.718173228980811e-05,BL-LL-GF02_-40C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,4.2890842805061125
GF02,-40,233.14999999999998,6.3421649112856456e-09,BL-LL-GF02_-40C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,4.2890842805061125
GF02,-60,213.14999999999998,9.718173228980811e-05,BL-LL-GF02_-60C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,4.691531785127845
GF02,-60,213.14999999999998,1.4551017754057626e-11,BL-LL-GF02_-60C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,4.691531785127845
GF03,60,333.15,9.718173228980811e-05,BL-LL-GF03_60C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.0016509079994
GF03,60,333.15,1.987922519070639e-08,BL-LL-GF03_60C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.0016509079994
GF03,40,313.15,9.718173228980811e-05,BL-LL-GF03_40C_Blocking_Ionic_Conductivity_01_OCV_C02.mpt,3.193357815743254
GF03,40,313.15,1.3827374487230691e-08,BL-LL-GF03_40C_Blocking_Ionic_Conductivity_02_PEIS_C02.mpt,3.193357815743254
